"","X.1","X","crash_number","date_time","year","day_of_week","object_1","object_2","street_name","location","latitude","longitude","weather","hospitals","gender","month","month_name","day","Weekday","dow","Week","Season"
"1",1,1,24029,NA,2010,"Saturday","Auto","Fixed Object","","  &  Cambridge, MA",-71.1097335,42.3736158,"SUNNY","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"2",2,2,24555,NA,2010,"Monday","Auto","Auto","OXFORD AVE"," OXFORD AVE &  Cambridge, MA",-71.1097335,42.3736158,"rain","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"3",3,3,24967,NA,2010,"Saturday","Taxi","Bicycle","","  &  Cambridge, MA",-71.1097335,42.3736158,"clear","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"4",4,4,29404,NA,2013,"Tuesday","Auto","Auto","FIRST ST"," FIRST ST &  Cambridge, MA",-71.1097335,42.3736158,"SUNNY","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"5",5,5,23658,NA,2010,"Thursday","Auto","Parked Vehicle","Ames St"," Ames St &  Cambridge, MA",-71.1097335,42.3736158,"cloudy","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"6",6,6,23661,NA,2010,"Thursday","Auto","Fixed Object","Wheeler St"," Wheeler St &  Cambridge, MA",-71.1097335,42.3736158,"sleet,hail,freezing rain or drizzle","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"7",7,7,23767,NA,2010,"Friday","Truck","Auto","DAVENPORT ST"," DAVENPORT ST &  Cambridge, MA",-71.1097335,42.3736158,"rain","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"8",8,8,23669,NA,2010,"Friday","Auto","Parked Vehicle","Shepard St"," Shepard St &  Cambridge, MA",-71.1097335,42.3736158,"SUNNY","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"9",9,9,23683,NA,2010,"Wednesday","Auto","Parked Vehicle","York St"," York St &  Cambridge, MA",-71.1097335,42.3736158,"sleet,hail,freezing rain or drizzle","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"10",10,10,23680,NA,2010,"Monday","Auto","Parked Vehicle","Massachusetts Ave"," Massachusetts Ave &  Cambridge, MA",-71.1097335,42.3736158,"cloudy","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"11",11,11,23697,NA,2010,"Saturday","Auto","Parked Vehicle","MAGAZINE ST"," MAGAZINE ST &  Cambridge, MA",-71.1097335,42.3736158,"clear","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"12",12,12,23707,NA,2010,"Tuesday","Auto","Parked Vehicle","MERCER CIR"," MERCER CIR & Sparks St Cambridge, MA",-71.1097335,42.3736158,"sleet,hail,freezing rain or drizzle","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"13",13,13,23708,NA,2010,"Tuesday","Truck","Taxi","Binney St"," Binney St &  Cambridge, MA",-71.1097335,42.3736158,"rain","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"14",14,14,23722,NA,2010,"Monday","Auto","Pedestrian","KIRKLAND ST"," KIRKLAND ST &  Cambridge, MA",42.361145,-71.057083,"rain","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"15",15,15,24066,NA,2010,"","","","","  &  Cambridge, MA",42.361145,-71.057083,"cloudy","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"16",16,16,24026,NA,2010,"Friday","Auto","Pedestrian","Church St"," Church St &  Cambridge, MA",42.361145,-71.057083,"rain","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"17",17,17,23794,NA,2010,"Friday","Auto","Auto","SMITH PL"," SMITH PL &  Cambridge, MA",42.361145,-71.057083,"cloudy","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"18",18,18,24096,NA,2010,"Friday","Auto","Bicycle","Massachusetts Ave"," Massachusetts Ave &  Cambridge, MA",42.361145,-71.057083,"cloudy","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"19",19,19,23814,NA,2010,"Tuesday","Auto","Fixed Object","MOUNT AUBURN ST"," MOUNT AUBURN ST &  Cambridge, MA",42.361145,-71.057083,"SUNNY","5","2",NA,NA,NA,NA,NA,NA,"Spring"
"20",20,20,1500000486,NA,2015,"Thursday","PASSENGER CAR","","BROADWAY","BROADWAY",42.361145,-71.057083,"sleet,hail,freezing rain or drizzle","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"21",21,21,23843,NA,2010,"Thursday","Auto","Parked Vehicle","Blake St"," Blake St &  Cambridge, MA",42.361145,-71.057083,"sleet,hail,freezing rain or drizzle","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"22",22,22,23845,NA,2010,"Friday","Auto","Auto","Massachusetts Ave"," Massachusetts Ave &  Cambridge, MA",42.361145,-71.057083,"cloudy","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"23",23,23,23867,NA,2010,"Monday","Auto","Parked Vehicle","Mount Vernon St"," Mount Vernon St &  Cambridge, MA",42.361145,-71.057083,"sleet,hail,freezing rain or drizzle","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"24",24,24,23863,NA,2010,"Wednesday","Auto","Parked Vehicle","GARDEN ST"," GARDEN ST &  Cambridge, MA",42.361145,-71.057083,"sleet,hail,freezing rain or drizzle","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"25",25,25,23868,NA,2010,"Wednesday","Auto","Fixed Object","DAVIS ST"," DAVIS ST &  Cambridge, MA",42.361145,-71.057083,"sleet,hail,freezing rain or drizzle","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"26",26,26,23872,NA,2010,"Wednesday","Auto","Pedestrian","PLEASANT ST"," PLEASANT ST &  Cambridge, MA",42.361145,-71.057083,"SUNNY","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"27",27,27,23876,NA,2010,"Wednesday","Auto","Parked Vehicle","Vassal Ln"," Vassal Ln &  Cambridge, MA",42.361145,-71.057083,"sleet,hail,freezing rain or drizzle","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"28",28,28,23926,NA,2010,"Saturday","Auto","Auto","Alewife Brook Pky"," Alewife Brook Pky &  Cambridge, MA",42.361145,-71.057083,"snow","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"29",29,29,23889,NA,2010,"Sunday","Auto","Parked Vehicle","Berkshire St"," Berkshire St &  Cambridge, MA",42.361145,-71.057083,"clear","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"30",30,30,1500000608,NA,2015,"Saturday","PASSENGER CAR","","STATE STREET","STATE STREET",42.361145,-71.057083,"sleet,hail,freezing rain or drizzle","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"31",31,31,25844,NA,2011,"","Auto","Auto","Bishop Allen Dr"," Bishop Allen Dr &  Cambridge, MA",42.361145,-71.057083,"SUNNY","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"32",32,32,23924,NA,2010,"Wednesday","Auto","Fixed Object","New St"," New St &  Cambridge, MA",42.361145,-71.057083,"SUNNY","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"33",33,33,24039,NA,2010,"Tuesday","Auto","Auto","","  &  Cambridge, MA",42.361145,-71.057083,"SUNNY","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"34",34,34,23960,NA,2010,"Thursday","Auto","Parked Vehicle","FRESH POND PKY"," FRESH POND PKY &  Cambridge, MA",42.361145,-71.057083,"SUNNY","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"35",35,35,23970,NA,2010,"Friday","Auto","Auto","MANASSAS AVE"," MANASSAS AVE &  Cambridge, MA",42.361145,-71.057083,"cloudy","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"36",36,36,23990,NA,2010,"Wednesday","Auto","Pedestrian","Rindge Ave"," Rindge Ave & SCHOOL ST Cambridge, MA",42.361145,-71.057083,"SUNNY","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"37",37,37,24009,NA,2010,"Sunday","Auto","Auto","LINE ST"," LINE ST &  Cambridge, MA",42.361145,-71.057083,"snow","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"38",38,38,24010,NA,2010,"Monday","Bicycle","Miscellaneous","KIRKLAND ST"," KIRKLAND ST &  Cambridge, MA",42.361145,-71.057083,"SUNNY","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"39",39,39,24014,NA,2010,"Wednesday","Auto","Auto","PLEASANT ST"," PLEASANT ST &  Cambridge, MA",42.363207,-71.0967,"SUNNY","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"40",40,40,24031,NA,2010,"Saturday","Auto","Pedestrian","FRESH POND PKY"," FRESH POND PKY &  Cambridge, MA",42.363207,-71.0967,"SUNNY","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"41",41,41,24344,NA,2010,"","Auto","Auto","","  &  Cambridge, MA",42.363207,-71.0967,"cloudy","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"42",42,42,24080,NA,2010,"Monday","Auto","Parked Vehicle","Porter Sq"," Porter Sq &  Cambridge, MA",42.363207,-71.0967,"clear","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"43",43,43,24084,NA,2010,"Wednesday","Auto","Pedestrian","HAWTHORNE ST"," HAWTHORNE ST & MOUNT AUBURN ST Cambridge, MA",42.363207,-71.0967,"rain","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"44",44,44,24107,NA,2010,"Thursday","Auto","Parked Vehicle","White St"," White St &  Cambridge, MA",42.363207,-71.0967,"rain","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"45",45,45,24119,NA,2010,"Wednesday","Auto","Parked Vehicle","Broadway"," Broadway &  Cambridge, MA",42.363207,-71.0967,"SUNNY","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"46",46,46,24163,NA,2010,"Saturday","Auto","Parked Vehicle","IRVING ST"," IRVING ST &  Cambridge, MA",42.363207,-71.0967,"SUNNY","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"47",47,47,24144,NA,2010,"Monday","Auto","Parked Vehicle","Brattle St"," Brattle St &  Cambridge, MA",42.363207,-71.0967,"SUNNY","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"48",48,48,24161,NA,2010,"Thursday","Auto","Pedestrian","QUINCY ST"," QUINCY ST & OXFORD AVE Cambridge, MA",42.363207,-71.0967,"SUNNY","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"49",49,49,26769,NA,2011,"Wednesday","Auto","Bicycle","Massachusetts Ave"," Massachusetts Ave &  Cambridge, MA",42.363207,-71.0967,"sleet,hail,freezing rain or drizzle","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"50",50,50,24185,NA,2010,"Monday","Auto","Auto","Brattle St"," Brattle St &  Cambridge, MA",42.363207,-71.0967,"sleet,hail,freezing rain or drizzle","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"51",51,51,24219,NA,2010,"Wednesday","Auto","Auto","MAGAZINE ST"," MAGAZINE ST &  Cambridge, MA",42.363207,-71.0967,"SUNNY","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"52",52,52,1500000609,NA,2015,"Sunday","PASSENGER CAR","","COLUMBIA ST","COLUMBIA ST",42.363207,-71.0967,"SUNNY","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"53",53,53,24294,NA,2010,"Friday","Auto","Parked Vehicle","Ballord Pl"," Ballord Pl &  Cambridge, MA",42.363207,-71.0967,"rain","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"54",54,54,24316,NA,2010,"Sunday","Auto","Parked Vehicle","","  &  Cambridge, MA",42.363207,-71.0967,"cloudy","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"55",55,55,24323,NA,2010,"Tuesday","Auto","Parked Vehicle","Windsor St"," Windsor St &  Cambridge, MA",42.363207,-71.0967,"snow","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"56",56,56,24326,NA,2010,"Thursday","Taxi","Bicycle","Cambridgeside Pl"," Cambridgeside Pl &  Cambridge, MA",42.363207,-71.0967,"rain","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"57",57,57,24339,NA,2010,"Sunday","Auto","Parked Vehicle","PEARL ST"," PEARL ST &  Cambridge, MA",42.363207,-71.0967,"rain","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"58",58,58,25502,NA,2011,"Saturday","Auto","Parked Vehicle","Charles St"," Charles St &  Cambridge, MA",42.363207,-71.0967,"snow","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"59",59,59,26770,NA,2011,"Wednesday","Truck","Auto","Cedar St"," Cedar St & Rindge Ave Cambridge, MA",42.363207,-71.0967,"SUNNY","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"60",60,60,24397,NA,2010,"Tuesday","Auto","Parked Vehicle","Bishop Allen Dr"," Bishop Allen Dr &  Cambridge, MA",42.363207,-71.0967,"SUNNY","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"61",61,61,1500000720,NA,2015,"Thursday","PASSENGER CAR","","GORE ST","GORE ST",42.363207,-71.0967,"clear","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"62",62,62,24448,NA,2010,"","Auto","Parked Vehicle","Berkshire St"," Berkshire St &  Cambridge, MA",42.363207,-71.0967,"snow","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"63",63,63,24466,NA,2010,"","Auto","Auto","Terminal Rd"," Terminal Rd &  Cambridge, MA",42.363207,-71.0967,"cloudy","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"64",64,64,24491,NA,2010,"Saturday","Auto","Auto","PROSPECT ST"," PROSPECT ST &  Cambridge, MA",42.363207,-71.0967,"snow","1","2",NA,NA,NA,NA,NA,NA,"Spring"
"65",65,65,24514,NA,2010,"Thursday","Auto","Parked Vehicle","Hampshire St"," Hampshire St &  Cambridge, MA",42.363207,-71.0967,"cloudy","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"66",66,66,30412,NA,2012,"Friday","Auto","Pedestrian","SHERMAN ST"," SHERMAN ST &  Cambridge, MA",42.363207,-71.0967,"sleet,hail,freezing rain or drizzle","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"67",67,67,30293,NA,2012,"Friday","Auto","Parked Vehicle","Porter Sq"," Porter Sq &  Cambridge, MA",42.363207,-71.0967,"cloudy","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"68",68,68,24947,NA,2010,"Sunday","Auto","Parked Vehicle","GOLD STAR RD"," GOLD STAR RD &  Cambridge, MA",42.363207,-71.0967,"SUNNY","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"69",69,69,24603,NA,2010,"Tuesday","Auto","Auto","HARVARD SQ"," HARVARD SQ &  Cambridge, MA",42.363207,-71.0967,"cloudy","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"70",70,70,24605,NA,2010,"Wednesday","Auto","Auto","Concord Ave"," Concord Ave & Concord Ave Cambridge, MA",42.363207,-71.0967,"clear","1","1",NA,NA,NA,NA,NA,NA,"Spring"
"71",71,71,30677,NA,2012,"Sunday","Auto","Bicycle","Cambridge St"," Cambridge St & PARKER ST Cambridge, MA",42.363207,-71.0967,"snow","6","1",NA,NA,NA,NA,NA,NA,"Spring"
